# 
# This file contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: OP1
# Creation date: 10/04/2024 22:22:59
# 
# 10/04/2024 22:23:00
# The parameters defined in the project are:
# ,P1 - $length_between_row [mm],P2 - $move_r [mm],P3 - mean,P4 - dif,P5 - ppmmax,P6 - diffmin
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6
DP 1,0.52499999999999991,11.850000000000001,0.0821091309563491,0.014450824288596179,1.199089874302254E-06,8.4709919749729448E-07
DP 2,1.925,29.85,0.032762314549385323,0.0038365111122655362,1.1329556028415911E-06,8.9875291203460008E-07
DP 3,0.625,6.4499999999999993,0.112535977517179,0.02391164388449599,1.25831050504464E-06,8.3335051603408926E-07
DP 4,2.725,11.25,0.077742307869596308,0.010014244779644859,1.1407174373669859E-06,8.8309079740557413E-07
DP 5,1.575,3.75,0.12735187093810729,0.033082414764117253,1.3714722116765449E-06,8.5192876845229655E-07
DP 6,2.325,2.25,0.13490346818950991,0.070041219025479648,1.901456579950162E-06,8.6306638931270274E-07
DP 7,3.075,14.25,0.06544168473364434,0.0080137504812674322,1.131877219534699E-06,8.8696450025235262E-07
DP 8,0.575,21.15,0.05030480923300789,0.0078482270687204626,1.176815822425656E-06,8.6478891333360157E-07
DP 9,0.42500000000000027,1.6500000000000004,0.15565129142849479,0.095298754862338922,2.0486065008881751E-06,8.2409041769051465E-07
DP 10,1.825,20.55,0.049931236194268112,0.0065704047861213262,1.1494992128218219E-06,8.8632107877531933E-07
DP 11,0.72500000000000009,4.65,0.12546305408138139,0.032330794071830538,1.352069631401162E-06,8.3668612972330181E-07
DP 12,3.4250000000000003,27.15,0.035362972430237893,0.003768400556676751,1.119831049985743E-06,9.0670413798133914E-07
DP 13,2.6750000000000003,24.75,0.040103712893138167,0.0046326778109763824,1.12840635187625E-06,8.9737149366644786E-07
DP 14,3.975,7.95,0.088371372105005119,0.01098040996668386,1.147353155211156E-06,8.988471129232372E-07
DP 15,3.675,5.5500000000000007,0.1028228162537419,0.017860508345221231,1.243793231564864E-06,8.9638962999173061E-07
DP 16,3.125,18.75,0.052210618736261039,0.0061393499994546359,1.1286366456720229E-06,8.93460348280596E-07
DP 17,3.2750000000000004,7.35,0.094379660148719249,0.012378475315902171,1.1525632082411989E-06,8.902508562705149E-07
DP 18,1.525,23.85,0.043101847592158078,0.0057513653428009279,1.152265160955331E-06,8.8539189848073881E-07
DP 19,4.525,0.75,0.132556395878245,0.1266417608348672,2.7685253638461021E-06,8.5776489098005373E-07
DP 20,3.825,28.65,0.032828125838720447,0.0032529995353837451,1.108926567834269E-06,9.1074287916649515E-07
DP 21,4.125,4.0500000000000007,0.11000277853053229,0.031506412252370858,1.4770472972416019E-06,9.0421790741621739E-07
DP 22,2.925,6.1499999999999986,0.10285902462242839,0.01740630030376206,1.2188983827351559E-06,8.8044873541142247E-07
DP 23,3.9250000000000003,18.15,0.052308958223422193,0.005484989788507446,1.11232525436248E-06,9.0261013195151854E-07
DP 24,2.0749999999999997,13.950000000000001,0.069027670824280934,0.0095823674210710856,1.156064540544521E-06,8.7842610057848809E-07
DP 25,1.975,9.1499999999999986,0.090209632838853873,0.013682678223601859,1.170902933266798E-06,8.6755000314138914E-07
DP 26,4.6750000000000007,15.75,0.057172820666826288,0.0056090769556422816,1.1049357940794409E-06,9.087209881551689E-07
DP 27,0.075000000000000178,23.25,0.046065577261489209,0.0072474882612416011,1.1823434872156179E-06,8.6768387836706018E-07
DP 28,3.875,1.9499999999999993,0.126800556341458,0.062315585143401173,1.8794930325974641E-06,8.9660168036091468E-07
DP 29,1.125,24.45,0.042401150676110042,0.0059568660716973372,1.162289197212633E-06,8.8131257385634354E-07
DP 30,4.975,19.35,0.04768629290026833,0.0044421050022693106,1.099189520949463E-06,9.1288420207891928E-07
DP 31,0.47499999999999964,16.650000000000002,0.06336266282174062,0.010531070032084051,1.190162222034866E-06,8.5775605212021716E-07
DP 32,1.275,9.75,0.089809394631449074,0.015103327442243891,1.192155618237642E-06,8.5581380223446233E-07
DP 33,4.175,22.35,0.042704142804097477,0.0042165031591734972,1.1072980763582111E-06,9.0982294245766943E-07
DP 34,3.375,12.45,0.07102376178128092,0.0081284680995544062,1.1231440552303679E-06,8.94249727594325E-07
DP 35,0.77500000000000013,17.549999999999997,0.059887091687253341,0.0095054735579939882,1.1797593051803041E-06,8.6231281411895338E-07
DP 36,1.3250000000000002,27.450000000000003,0.036859403492881172,0.0045688883770223718,1.140974393153588E-06,8.9306542317230218E-07
DP 37,2.275,12.15,0.0754139351922613,0.01071034545294516,1.156522961006047E-06,8.7248141283222133E-07
DP 38,1.225,19.950000000000003,0.052368059223684878,0.007577337255520223,1.165884647651856E-06,8.7649690375421061E-07
DP 39,0.925,0.45000000000000107,0.1648303103378935,0.15045524273088259,2.652881582653579E-06,8.273042064724986E-07
DP 40,1.375,2.5500000000000007,0.13910882326073831,0.063318083811680456,1.760937233651196E-06,8.5059837336193483E-07
DP 41,0.875,29.25,0.034468450768897388,0.0045020758091453986,1.147557955202438E-06,8.8632916721131441E-07
DP 42,4.025,25.049999999999997,0.038043016533496517,0.0038619059443562552,1.11043962274459E-06,9.0741124611962426E-07
DP 43,2.125,5.25,0.1128111176405216,0.024448208495498589,1.2995862187793249E-06,8.6615006449169413E-07
