# 
# This file contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: OP10
# Creation date: 10/15/2024 00:32:15
# 
# 10/15/2024 00:32:15
# The parameters defined in the project are:
# ,P1 - $length_between_row [mm],P2 - $move_r [mm],P3 - $move_sweet_spot
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3
DP 0,11,0,0
# 
# A non parametric change occurred and invalidated design point results.
# 10/15/2024 00:32:54
# 
# 
# 10/15/2024 00:56:17
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - $length_between_row [mm],P2 - $move_r [mm],P3 - $move_sweet_spot,P4 - mean,P5 - ppmmath,P6 - ppmmax
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6
DP 10,11.116666666666667,25.733333333333334,-0.54999999999999893,1.1912026565113071E-05,95918.269678798315,83639.495189276073
DP 28,13.616666666666667,21.466666666666665,0.61666666666666714,4.0809797272829677E-06,67751.355831735578,83846.627422783728
DP 65,10.183333333333334,38.533333333333331,0.38333333333333375,2.1859017487081362E-05,219165.12037739891,274708.16809278057
DP 80,14.05,15.066666666666666,-0.31666666666666643,6.5239499795137924E-05,272856.124677301,330841.70481960708
DP 88,12.316666666666666,0.13333333333333286,0.14999999999999947,0.001895568884586979,955036.20853911759,13841840.010621021
DP 130,13.183333333333334,29.2,-0.083333333333333925,0.0034536774973226228,316497.67468128662,382883.91177521058
DP 165,11.116666666666667,1.2000000000000028,-0.31666666666666643,5.1354409095677977E-05,195141.37067956061,430820.21063700452
DP 185,14.35,32.933333333333337,-0.083333333333333925,0.0031870112926408109,292219.62553703832,362256.70415029308
DP 193,14.016666666666666,39.6,-0.783333333333335,5.345844117027695E-06,49305.346731957623,51880.2388096478
DP 196,11.416666666666666,39.866666666666667,0.61666666666666714,4.0117091133937953E-06,82903.074328990086,92212.776573757132
DP 199,14.95,13.200000000000001,0.38333333333333375,1.669268931174635E-05,176183.97725140021,182246.43316733331
# 
# A non parametric change occurred and invalidated design point results.
# 10/21/2024 00:19:29
# 
